symbol,list_name,transcript_cluster_id,probesetid,seqname,strand,start,stop,totalprobes,category,geneassignment
HDAC2,TP73-FUS panel,TC0600012927.hg.1,TC0600012927.hg.1,chr6,-,113933028,114011308,10,main,NM_001527 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// NR_033441 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// NR_073443 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000368632 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000425835 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000518690 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000518756 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000519065 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000519108 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000520170 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000520746 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000520895 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000521163 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000521233 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000521610 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000522371 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000523240 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000523334 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000523628 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// ENST00000524334 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000041909 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000041910 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379477 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379478 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379479 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379480 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379481 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379482 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379483 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379566 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379567 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379568 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379569 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379570 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379571 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379572 // HDAC2 // histone deacetylase 2 // 6q21 // 3066 /// OTTHUMT00000379573 // HDAC2 // histone deacetylase 2 // 6q21 // 3066
HDAC6,TP73-FUS panel,TC0X00007205.hg.1,TC0X00007205.hg.1,chrX,+,48801377,48824982,10,main,NM_006044 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000334136 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000376610 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000376619 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000376643 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000423941 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000426196 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000430858 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000438518 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000440653 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000441703 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000443563 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000461608 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000462730 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000465269 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000465457 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000468949 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000469223 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000470942 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000476625 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000477528 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000477561 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000478095 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000480525 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000481929 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000483506 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000483656 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000485102 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000486227 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000486665 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000488543 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000488905 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000489053 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000489352 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000493923 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000495515 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// ENST00000498808 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// BC013737 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// BC069243 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083394 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083395 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083396 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083397 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083398 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083400 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083402 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083403 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083405 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083406 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083408 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000083409 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318628 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318629 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318630 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318631 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318632 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318633 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318634 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318635 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318636 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318637 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318638 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318639 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318640 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318641 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318642 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318643 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318644 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318645 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318646 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318647 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318648 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318649 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318650 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013 /// OTTHUMT00000318651 // HDAC6 // histone deacetylase 6 // Xp11.23 // 10013
HDAC6,TP73-FUS panel,TC0X00009629.hg.1,TC0X00009629.hg.1,chrX,-,48823213,48823296,6,main,"hsa_circ_0001920 // HDAC6 // Memczak2013 ANTISENSE, CDS, coding, INTERNAL best transcript NM_006044 // --- // ---"
HES7,List A,TC1700009671.hg.1,TC1700009671.hg.1,chr17,-,8120590,8124092,10,main,NM_001165967 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// NM_032580 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// ENST00000317814 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// ENST00000541682 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// ENST00000577735 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// OTTHUMT00000441478 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// OTTHUMT00000441479 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667 /// OTTHUMT00000441480 // HES7 // hes family bHLH transcription factor 7 // 17p13.1 // 84667
INSM1,List A,TC2000006872.hg.1,TC2000006872.hg.1,chr20,+,20368121,20370949,10,main,NM_002196 // INSM1 // insulinoma-associated 1 // 20p11.2 // 3642 /// ENST00000310227 // INSM1 // insulinoma-associated 1 // 20p11.2 // 3642 /// OTTHUMT00000078223 // INSM1 // insulinoma-associated 1 // 20p11.2 // 3642
ISL1,List B,TC0500007349.hg.1,TC0500007349.hg.1,chr5,+,51383124,51394738,10,main,NM_002202 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// ENST00000230658 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// ENST00000505475 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// ENST00000511384 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// BC031213 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// OTTHUMT00000368413 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// OTTHUMT00000368415 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670 /// OTTHUMT00000368777 // ISL1 // ISL LIM homeobox 1 // 5q11.1 // 3670
ISL1,List B,TC0500007350.hg.1,TC0500007350.hg.1,chr5,+,51386838,51387343,6,main,"ISL1.cAug10-unspliced // ISL1 // Transcript Identified by AceView, Entrez Gene ID(s) 3670 // --- // ---"
KLF15,List A,TC0300012275.hg.1,TC0300012275.hg.1,chr3,-,126342635,126357442,10,main,NM_014079 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999 /// ENST00000296233 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999 /// ENST00000509675 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999 /// BC036733 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999 /// OTTHUMT00000370096 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999 /// OTTHUMT00000370097 // KLF15 // Kruppel-like factor 15 // 3q21.3 // 28999
LMX1B,List B,TC0900008784.hg.1,TC0900008784.hg.1,chr9,+,126614443,126701033,10,main,"NM_001174146 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// NM_001174147 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// NM_002316 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// ENST00000355497 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// ENST00000373474 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// ENST00000526117 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// ENST00000561065 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// BC069601 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// BC112120 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// BC113491 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// BC143801 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// OTTHUMT00000054122 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// OTTHUMT00000054123 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// OTTHUMT00000415751 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// uc004bqj.3 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010 /// uc011maa.2 // LMX1B // LIM homeobox transcription factor 1, beta // 9q33.3 // 4010"
MDM2,TP73-FUS panel,TC1200008116.hg.1,TC1200008116.hg.1,chr12,+,68808172,68850686,10,main,"NM_001145337 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// NM_001145339 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// NM_001145340 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// NM_001278462 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// NM_002392 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000400501 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000428863 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000462284 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000471946 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000478070 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000481186 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000493419 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000496959 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000517852 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000523991 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000536089 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000537182 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000539479 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000540352 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000540709 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000542502 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000543046 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000543323 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000544125 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000544561 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000545204 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// ENST00000546048 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286419 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286420 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286421 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286422 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286423 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286424 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286425 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286426 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286427 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286428 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286429 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286430 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286431 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286432 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000286433 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000377018 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000377021 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402655 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402656 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402657 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402658 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402659 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402660 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402661 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402662 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402663 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402664 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402665 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402674 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402675 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402676 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193 /// OTTHUMT00000402677 // MDM2 // MDM2 proto-oncogene, E3 ubiquitin protein ligase // 12q14.3-q15 // 4193"
NFIX,List A,TC1900007115.hg.1,TC1900007115.hg.1,chr19,+,12995608,13098796,10,main,NM_001271043 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// NM_001271044 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// NM_002501 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000358552 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000360105 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000397661 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000585382 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000585575 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000586797 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000586873 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000587260 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000587760 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000588228 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000588680 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000590027 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000591028 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// ENST00000592199 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// BC117113 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// BC117115 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452762 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452763 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452764 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452765 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452766 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452767 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452768 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452769 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452770 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452771 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452772 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452773 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// OTTHUMT00000452774 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784 /// uc002mwf.3 // NFIX // nuclear factor I/X (CCAAT-binding transcription factor) // 19p13.3 // 4784
